(20, 2, 3.0221841239999776)
(20, 5, 4.649177594000321)
(20, 10, 9.002219655000317)
(50, 2, 14.23153839600036)
(50, 5, 19.287145497999973)
(20, 25, 26.121368054999948)
(50, 10, 29.40592063000031)
(100, 2, 31.01887296299992)
(100, 5, 51.30708286299978)
(20, 50, 54.33733783800017)
(200, 2, 54.0186964909999)
(100, 10, 68.32980791699993)
(50, 25, 70.08200638699964)
(200, 5, 79.58177147600009)
(50, 50, 98.06289758599996)
(200, 10, 107.0071084479996)
(100, 25, 113.93438438400017)
(500, 2, 142.23383239600025)
(100, 50, 158.78935171299963)
(500, 5, 184.21553201300003)
(200, 25, 193.31339249300026)
(500, 10, 213.90035097100008)
(1000, 2, 238.57328911500008)
(1000, 5, 266.87519186400004)
(200, 50, 293.2287172279998)
(1000, 10, 344.63223812800015)
(500, 25, 352.85872113100004)
(2500, 2, 440.91482430700034)
(2500, 5, 466.0406161860001)
(500, 50, 503.5533011809998)
(1000, 25, 511.63916011599986)
(2500, 10, 565.2225802929997)
(1000, 50, 636.0607987560002)
(2500, 25, 705.2751308850002)
(2500, 50, 759.9539405259998)
